Loc,Crop,LandAllocated
Albuquerque,CAUL,60
Albuquerque,CEL,0
Albuquerque,CUX,0
Albuquerque,LET,0
Albuquerque,PEP,0
Albuquerque,TOM,0
Aspen,CAUL,0
Aspen,CEL,0
Aspen,CUX,0
Aspen,LET,0
Aspen,PEP,0
Aspen,TOM,10
Las_Cruces,CAUL,30
Las_Cruces,CEL,0
Las_Cruces,CUX,0
Las_Cruces,LET,0
Las_Cruces,PEP,0
Las_Cruces,TOM,0
Phoenix,CAUL,40
Phoenix,CEL,0
Phoenix,CUX,0
Phoenix,LET,0
Phoenix,PEP,0
Phoenix,TOM,0
Tucson,CAUL,30
Tucson,CEL,0
Tucson,CUX,0
Tucson,LET,0
Tucson,PEP,0
Tucson,TOM,0
Yuma,CAUL,0
Yuma,CEL,0
Yuma,CUX,0
Yuma,LET,0
Yuma,PEP,0
Yuma,TOM,30
